time,scene,character,x,y,z,yaw,headX,headY,headZ,headYaw,headLocalYaw,headLocalPitch,headLocalRoll,faceDirX,faceDirY,faceDirZ,facingDir,inCombat,isSpeaking,isListener,dialogueActive,activeBody,activeFace,activeFx
0.400,"FeudalForestScene","Inuyasha",1.100,0.013,0.600,-1.261,1.100,1.793,0.600,-1.261,0.000,0.000,0.000,-0.952,0.000,0.305,,0,0,0,0,"SwayBody","",""
0.400,"FeudalForestScene","Yokai",0.000,0.013,-6.000,-0.187,0.000,1.670,-6.000,-0.187,0.000,0.000,0.000,-0.186,0.000,0.983,,0,0,0,0,"SwayBody","",""
0.417,"FeudalForestScene","Kagome",-1.400,0.013,1.400,1.880,-1.400,1.613,1.400,1.880,0.000,0.000,0.000,0.952,0.000,-0.305,,0,0,0,0,"SwayBody","",""
0.417,"FeudalForestScene","Inuyasha",1.100,0.013,0.600,-1.261,1.100,1.793,0.600,-1.261,0.000,0.000,0.000,-0.952,0.000,0.305,,0,0,0,0,"SwayBody","",""
0.417,"FeudalForestScene","Yokai",0.000,0.013,-6.000,-0.187,0.000,1.671,-6.000,-0.187,0.000,0.000,0.000,-0.186,0.000,0.983,,0,0,0,0,"SwayBody","",""
0.433,"FeudalForestScene","Kagome",-1.400,0.013,1.400,1.880,-1.400,1.613,1.400,1.880,0.000,0.000,0.000,0.952,0.000,-0.305,,0,0,0,0,"SwayBody","",""
0.433,"FeudalForestScene","Inuyasha",1.100,0.013,0.600,-1.261,1.100,1.793,0.600,-1.261,0.000,0.000,0.000,-0.952,0.000,0.305,,0,0,0,0,"SwayBody","",""
0.433,"FeudalForestScene","Yokai",0.000,0.013,-6.000,-0.187,0.000,1.672,-6.000,-0.187,0.000,0.000,0.000,-0.186,0.000,0.983,,0,0,0,0,"SwayBody","",""
0.450,"FeudalForestScene","Kagome",-1.400,0.013,1.400,1.880,-1.400,1.613,1.400,1.880,0.000,0.000,0.000,0.952,0.000,-0.305,,0,0,0,0,"SwayBody","",""
0.450,"FeudalForestScene","Inuyasha",1.100,0.013,0.600,-1.261,1.100,1.793,0.600,-1.261,0.000,0.000,0.000,-0.952,0.000,0.305,,0,0,0,0,"SwayBody","",""
0.450,"FeudalForestScene","Yokai",0.000,0.013,-6.000,-0.187,0.000,1.672,-6.000,-0.187,0.000,0.000,0.000,-0.186,0.000,0.983,,0,0,0,0,"SwayBody","",""
0.467,"FeudalForestScene","Kagome",-1.400,0.013,1.400,1.880,-1.400,1.613,1.400,1.880,0.000,0.000,0.000,0.952,0.000,-0.305,,0,0,0,0,"SwayBody","",""
0.467,"FeudalForestScene","Inuyasha",1.100,0.013,0.600,-1.261,1.100,1.793,0.600,-1.261,0.000,0.000,0.000,-0.952,0.000,0.305,,0,0,0,0,"SwayBody","",""
0.467,"FeudalForestScene","Yokai",0.000,0.013,-6.000,-0.187,0.000,1.673,-6.000,-0.187,0.000,0.000,0.000,-0.186,0.000,0.983,,0,0,0,0,"SwayBody","",""
0.483,"FeudalForestScene","Kagome",-1.400,0.013,1.400,1.880,-1.400,1.613,1.400,1.880,0.000,0.000,0.000,0.952,0.000,-0.305,,0,0,0,0,"SwayBody","",""
0.483,"FeudalForestScene","Inuyasha",1.100,0.013,0.600,-1.261,1.100,1.793,0.600,-1.261,0.000,0.000,0.000,-0.952,0.000,0.305,,0,0,0,0,"SwayBody","",""
0.483,"FeudalForestScene","Yokai",0.000,0.013,-6.000,-0.187,0.000,1.674,-6.000,-0.187,0.000,0.000,0.000,-0.186,0.000,0.983,,0,0,0,0,"SwayBody","",""
0.500,"FeudalForestScene","Kagome",-1.400,0.013,1.400,1.880,-1.400,1.613,1.400,1.880,0.000,0.000,0.000,0.952,0.000,-0.305,,0,0,0,0,"SwayBody","",""
0.500,"FeudalForestScene","Inuyasha",1.100,0.013,0.600,-1.261,1.100,1.793,0.600,-1.261,0.000,0.000,0.000,-0.952,0.000,0.305,,0,0,0,0,"SwayBody","",""
